representation,task,split,accuracy,macro_f1
tfidf,category,test,0.7389797626011685,0.7386642139850085
word2vec,category,test,0.6667900804904959,0.6721069848286565
lsa,category,test,0.6156153043014654,0.6159683363580791
tfidf,category,val,0.7372127390071778,0.737056467447949
word2vec,category,val,0.6668074069606128,0.6723088601575539
lsa,category,val,0.6149596879586625,0.6153774364909415
tfidf,sentiment,test,0.8838280993530647,0.6703906340686828
word2vec,sentiment,test,0.8578396163311045,0.5742867539870327
lsa,sentiment,test,0.8566054780928122,0.5741739215173666
tfidf,sentiment,val,0.8849397832599474,0.6704289373018949
word2vec,sentiment,val,0.8583951585338883,0.5723401298014843
lsa,sentiment,val,0.8579679112129803,0.5716441874600133
